trajectory,paper_time_scale,feasibility_pass,failed_criteria,tail_mean_abs_force_error_N,contact_present_fraction,max_tangential_position_error_m,max_planar_velocity_slack_m_s,max_abs_normal_velocity_slack_m_s,max_orientation_error_rad,max_angular_velocity_slack_rad_s,max_abs_qdot_rad_s,max_qdot_utilization,tail_max_qdot_utilization,qdot_saturation_fraction,tail_qdot_saturation_fraction,max_qdot_violation_rad_s,max_joint_limit_violation_rad,case_dir
e2-figure-eight,1.0,False,qdot_saturation_fraction;tail_max_qdot_utilization;max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.0005011031206470318,1.0,8.944242741889184e-06,1.9575401563049538e-07,3.679725364000232e-10,0.03774766436372975,0.04492437394720665,0.15,1.0,1.0,0.1845,0.14375,0.0,0.0,runs/nullspace_orientation_timing_sweep/20260524T042206/e2_scale-1
e2-figure-eight,0.75,False,qdot_saturation_fraction;tail_max_qdot_utilization;max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.00014946633455506953,1.0,6.708182251390124e-06,3.50791120518532e-08,6.474718219713404e-11,0.03501762847534395,0.03706468836695612,0.15,1.0,1.0,0.154,0.02,0.0,0.0,runs/nullspace_orientation_timing_sweep/20260524T042206/e2_scale-0p75
e2-figure-eight,0.5,False,qdot_saturation_fraction,0.00025851911019694307,1.0,4.472121797206802e-06,1.780018691679371e-08,2.6841570266900212e-11,0.026953431667816132,0.029563397178398124,0.15,1.0,0.03978237755261255,0.148,0.0,0.0,0.0,runs/nullspace_orientation_timing_sweep/20260524T042206/e2_scale-0p5
e2-figure-eight,0.35,False,qdot_saturation_fraction;tail_max_qdot_utilization,0.00029143729700152333,1.0,3.130485542133294e-06,1.148721742763999e-08,2.2682845680140496e-11,0.019968191633749657,0.02218943027778598,0.15,1.0,1.0,0.147,0.0075,0.0,0.0,runs/nullspace_orientation_timing_sweep/20260524T042206/e2_scale-0p35
e2-figure-eight,0.25,False,qdot_saturation_fraction;tail_max_qdot_utilization,0.0002999272401727515,1.0,2.236086177915552e-06,7.987660349065045e-09,2.3383716749763358e-11,0.014645834298341194,0.01637189293486165,0.15,1.0,1.0,0.1435,0.0175,0.0,0.0,runs/nullspace_orientation_timing_sweep/20260524T042206/e2_scale-0p25
e2-figure-eight,0.2,False,qdot_saturation_fraction;tail_max_qdot_utilization,0.0003147806851398849,1.0,1.7913001248655088e-06,6.557875702911612e-09,2.373415239977127e-11,0.011833962492106373,0.013258124542901822,0.15,1.0,1.0,0.1405,0.0425,0.0,0.0,runs/nullspace_orientation_timing_sweep/20260524T042206/e2_scale-0p2
e2-figure-eight,0.15,False,qdot_saturation_fraction;tail_max_qdot_utilization,0.0005209100715186343,1.0,1.346754747464866e-06,5.129709132856242e-09,2.40845879345827e-11,0.008945503859163125,0.010038867601499916,0.15,1.0,1.0,0.127,0.13875,0.0,0.0,runs/nullspace_orientation_timing_sweep/20260524T042206/e2_scale-0p15
e2-figure-eight,0.1,False,qdot_saturation_fraction;tail_max_qdot_utilization,0.00028017224329198175,1.0,8.944251461459207e-07,3.367061605502975e-09,2.4435023455841604e-11,0.006008040747789106,0.006736682020150603,0.15,1.0,1.0,0.01775,0.08875,0.0,0.0,runs/nullspace_orientation_timing_sweep/20260524T042206/e2_scale-0p1
e2-figure-eight,0.075,True,,0.0002771005815372496,1.0,6.708191085550114e-07,2.4433712474975925e-09,2.461024130117435e-11,0.004516128236962064,0.005076738194606452,0.0025361536010690623,0.01690769067379375,0.005903898478793365,0.0,0.0,0.0,0.0,runs/nullspace_orientation_timing_sweep/20260524T042206/e2_scale-0p075
e3-circle,1.0,False,qdot_saturation_fraction;max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.0003924016561831989,1.0,5.999914591096698e-06,6.312024736453601e-07,7.417388251306308e-10,0.08131187102533075,0.08921566880313665,0.15,1.0,0.20538347700437862,0.15675,0.0,0.0,0.0,runs/nullspace_orientation_timing_sweep/20260524T042206/e3_scale-1
