posture,initial_q,calibrated_base_z_offset_m,initial_force_N,trajectory,paper_time_scale,feasibility_pass,failed_criteria,tail_mean_abs_force_error_N,contact_present_fraction,max_tangential_position_error_m,max_planar_velocity_slack_m_s,max_abs_normal_velocity_slack_m_s,qdot_saturation_fraction,tail_max_qdot_utilization,case_dir
baseline,"0,-0.02,0.03,-0.01,0,0",-1.8310546875000003e-05,5.003594660789989,e2-figure-eight,1.0,False,solver_success_fraction;max_tangential_position_error_m;max_planar_velocity_slack_m_s;qdot_saturation_fraction;tail_max_qdot_utilization,0.08097697498404266,1.0,0.022994130404429502,0.014298549809126072,0.00014176251251519958,0.828,0.9999999999999998,runs/posture_feasibility_sweep/20260524T022145/baseline/e2_scale-1
baseline,"0,-0.02,0.03,-0.01,0,0",-1.8310546875000003e-05,5.003594660789989,e2-figure-eight,0.75,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s;qdot_saturation_fraction;tail_max_qdot_utilization,0.05043720574356312,1.0,0.017093692727063747,0.011082315402674632,0.00011029805117854254,0.77,0.9999999999999998,runs/posture_feasibility_sweep/20260524T022145/baseline/e2_scale-0p75
baseline,"0,-0.02,0.03,-0.01,0,0",-1.8310546875000003e-05,5.003594660789989,e2-figure-eight,0.6,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s;qdot_saturation_fraction;tail_max_qdot_utilization,0.032725977495626994,1.0,0.012916929724016035,0.008837204805667425,8.822686322560668e-05,0.71225,0.9999999999999998,runs/posture_feasibility_sweep/20260524T022145/baseline/e2_scale-0p6
baseline,"0,-0.02,0.03,-0.01,0,0",-1.8310546875000003e-05,5.003594660789989,e2-figure-eight,0.5,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s;qdot_saturation_fraction;tail_max_qdot_utilization,0.020832727965758812,1.0,0.009886091378418492,0.006931203353910178,6.996755631531488e-05,0.65425,0.9999999999999998,runs/posture_feasibility_sweep/20260524T022145/baseline/e2_scale-0p5
baseline,"0,-0.02,0.03,-0.01,0,0",-1.8310546875000003e-05,5.003594660789989,e2-figure-eight,0.35,False,solver_success_fraction;max_tangential_position_error_m;max_planar_velocity_slack_m_s;qdot_saturation_fraction;tail_max_qdot_utilization,0.008575815922278907,1.0,0.0050362729632133455,0.0041272189630289415,4.170867171042359e-05,0.49075,0.9999999999999998,runs/posture_feasibility_sweep/20260524T022145/baseline/e2_scale-0p35
baseline,"0,-0.02,0.03,-0.01,0,0",-1.8310546875000003e-05,5.003594660789989,e2-figure-eight,0.25,False,solver_success_fraction;max_planar_velocity_slack_m_s;qdot_saturation_fraction;tail_max_qdot_utilization,0.002573921164182661,1.0,0.001666702731474482,0.0019502636843512571,2.3705379253729927e-05,0.3005,0.9999999999999998,runs/posture_feasibility_sweep/20260524T022145/baseline/e2_scale-0p25
baseline,"0,-0.02,0.03,-0.01,0,0",-1.8310546875000003e-05,5.003594660789989,e2-figure-eight,0.2,False,qdot_saturation_fraction;tail_max_qdot_utilization,0.0007787250282253866,1.0,0.00032479091351769285,0.0008416272101666973,6.895730118675864e-06,0.13025,0.9999999999999998,runs/posture_feasibility_sweep/20260524T022145/baseline/e2_scale-0p2
baseline,"0,-0.02,0.03,-0.01,0,0",-1.8310546875000003e-05,5.003594660789989,e3-circle,1.0,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s;qdot_saturation_fraction;tail_max_qdot_utilization,0.022621162113788083,1.0,0.017242221453595254,0.011087649384373089,7.297788601780573e-05,0.81,0.9999999999999998,runs/posture_feasibility_sweep/20260524T022145/baseline/e3_scale-1
baseline,"0,-0.02,0.03,-0.01,0,0",-1.8310546875000003e-05,5.003594660789989,e3-circle,0.75,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s;qdot_saturation_fraction;tail_max_qdot_utilization,0.012891020277324527,1.0,0.011668073043814122,0.007739162180545329,5.093176451902002e-05,0.7455,0.9999999999999998,runs/posture_feasibility_sweep/20260524T022145/baseline/e3_scale-0p75
baseline,"0,-0.02,0.03,-0.01,0,0",-1.8310546875000003e-05,5.003594660789989,e3-circle,0.6,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s;qdot_saturation_fraction;tail_max_qdot_utilization,0.00644119350334795,1.0,0.00835595658189906,0.005618815383949916,3.671605902816106e-05,0.6815,0.9999999999999998,runs/posture_feasibility_sweep/20260524T022145/baseline/e3_scale-0p6
