index,time_s,q0,q1,q2,q3,q4,q5,force_N,target_contact_count,force_error_N,scheduled_xy_error_m,reference_xy_error_m,scheduled_orientation_error_rad,force_normal_orientation_error_rad
0,0.0,0.0,-0.1,0.15,-0.05,0.0,0.0,4.9999999999967395,1,3.2605029787191597e-12,0.0,0.0,0.0,0.17453292523411995
1,0.002,-1.5634488251023344e-12,-0.10000148636839745,0.14999548416396727,-0.049994057654611165,5.164135421392197e-14,1.3676720797361074e-05,5.000034416874049,1,3.4416874049369994e-05,1.1346669276115003e-11,4.010215100191603e-07,5.4031080271419055e-11,0.17451930837236365
2,0.004,-3.126897650204669e-12,-0.10000297273679491,0.14999096832793454,-0.04998811530922232,1.0328270842784394e-13,2.7353441594722148e-05,5.00006764841016,1,6.764841015982626e-05,2.2332182135412305e-11,8.02042658883638e-07,1.0806215357678345e-10,0.17450569151060707
3,0.006,-4.690346475307003e-12,-0.10000445910519237,0.14998645249190184,-0.04998217296383349,1.5492406264176594e-13,4.1030162392083225e-05,5.00009969456149,1,9.969456148972711e-05,3.2956258420073386e-11,1.203063446309806e-06,1.620931852250397e-10,0.17449207464885147
4,0.008,-6.253795300409338e-12,-0.10000594547358983,0.14998193665586912,-0.04997623061844465,2.065654168556879e-13,5.4706883189444295e-05,5.000130555332784,1,0.00013055533278372167,4.321848526593552e-11,1.6040838718882691e-06,2.1612430012637097e-10,0.17447845778709561
5,0.01,-7.817244125511671e-12,-0.10000743184198728,0.1499774208198364,-0.04997028827305581,2.5820677106960984e-13,6.838360398680537e-05,5.0001602307072694,1,0.00016023070726944866,5.311865016939892e-11,2.0051039354039225e-06,2.7015534560149583e-10,0.1744648409253402
6,0.012,-9.380692950614006e-12,-0.10000891821038474,0.14997290498380367,-0.04996434592766697,3.0984812528353187e-13,8.206032478416645e-05,5.000188720640509,1,0.0001887206405086772,6.26563584809009e-11,2.406123636462983e-06,3.24186439625096e-10,0.17445122406358332
7,0.014,-1.094414177571634e-11,-0.10001040457878219,0.14996838914777094,-0.04995840358227813,3.614894794974538e-13,9.573704558152752e-05,5.0002160251363135,1,0.0002160251363134691,7.183132917526827e-11,2.8071429747835584e-06,3.782175197471716e-10,0.17443760720182755
8,0.016,-1.2507590600818675e-11,-0.10001189094717965,0.14996387331173822,-0.049952461236889296,4.131308337113758e-13,0.00010941376637888859,5.00024214418191,1,0.00024214418191004228,8.06432578085632e-11,3.208161950063807e-06,4.322485721306071e-10,0.1744239903400717
9,0.018000000000000002,-1.4071039425921009e-11,-0.1000133773155771,0.14995935747570552,-0.04994651889150045,4.647721879252978e-13,0.00012309048717624966,5.000267077763114,1,0.0002670777631141874,8.909181304863634e-11,3.6091805619689267e-06,4.862796175243153e-10,0.17441037347831573
10,0.02,-1.5634488251023342e-11,-0.10001486368397457,0.14995484163967276,-0.04994057654611162,5.164135421392197e-13,0.00013676720797361073,5.000290825837514,1,0.0002908258375136086,9.717660805218989e-11,4.010198810114676e-06,5.403107391814247e-10,0.1743967566165591
