case,paper_time_scale,trajectory_orientation_kp,approach_final_orientation_error_rad,approach_terminal_orientation_pass,approach_feasibility_pass,approach_qdot_saturation_fraction,approach_max_tangential_position_error_m,trajectory_after_approach_pass,trajectory_feasibility_pass,trajectory_failed_criteria,trajectory_tail_mean_abs_force_error_N,trajectory_max_tangential_position_error_m,trajectory_max_planar_velocity_slack_m_s,trajectory_max_orientation_error_rad,trajectory_max_angular_slack_rad_s,trajectory_qdot_saturation_fraction,trajectory_tail_max_qdot_utilization,full_staged_feasibility_pass,case_dir
scale0p075_kp0p10,0.075,0.1,0.0020290714973557108,True,False,1.0,0.008347977658392892,False,False,qdot_saturation_fraction;tail_max_qdot_utilization,0.015191179672980932,2.0850437675500445e-05,2.7711268332986485e-09,0.020294558071100602,0.004471744994925079,0.9935,1.0,False,runs/staged_orientation_e2_after_prealign_bracket/20260524T100429/scale0p075_kp0p10
scale0p075_kp0p05,0.075,0.05,0.0020290714973557108,True,False,1.0,0.008347977658392892,False,False,qdot_saturation_fraction;tail_max_qdot_utilization,0.015198482989797717,2.085106966847137e-05,2.77115431812473e-09,0.020294687017938,0.003502902190427463,0.992,1.0,False,runs/staged_orientation_e2_after_prealign_bracket/20260524T100429/scale0p075_kp0p05
scale0p075_kp0p02,0.075,0.02,0.0020290714973557108,True,False,1.0,0.008347977658392892,False,False,qdot_saturation_fraction;tail_max_qdot_utilization,0.015192351330856467,2.0848729445995663e-05,2.7711280180012967e-09,0.020294496525676862,0.0029336570687855997,0.991,1.0,False,runs/staged_orientation_e2_after_prealign_bracket/20260524T100429/scale0p075_kp0p02
scale0p075_kp0p00,0.075,0.0,0.0020290714973557108,True,False,1.0,0.008347977658392892,False,False,qdot_saturation_fraction;tail_max_qdot_utilization,0.015192783113904573,2.0848158984244275e-05,2.771008459402097e-09,0.02029445962658342,0.0025560310653450382,0.99025,1.0,False,runs/staged_orientation_e2_after_prealign_bracket/20260524T100429/scale0p075_kp0p00
scale0p050_kp0p10,0.05,0.1,0.0020290714973557108,True,False,1.0,0.008347977658392892,False,False,qdot_saturation_fraction;tail_max_qdot_utilization,0.00763033693710233,1.49283590447206e-05,1.7860942832538436e-09,0.013992485295420454,0.0029931182358564692,0.98375,1.0,False,runs/staged_orientation_e2_after_prealign_bracket/20260524T100429/scale0p050_kp0p10
scale0p050_kp0p05,0.05,0.05,0.0020290714973557108,True,False,1.0,0.008347977658392892,False,False,qdot_saturation_fraction;tail_max_qdot_utilization,0.0076304210929984155,1.4928263508783885e-05,1.7860838196671867e-09,0.013992639772937614,0.00232842710064009,0.98075,1.0,False,runs/staged_orientation_e2_after_prealign_bracket/20260524T100429/scale0p050_kp0p05
scale0p050_kp0p02,0.05,0.02,0.0020290714973557108,True,False,1.0,0.008347977658392892,False,False,qdot_saturation_fraction;tail_max_qdot_utilization,0.007630327269323281,1.4927926798001023e-05,1.7861515066410522e-09,0.013992495844685076,0.0018906881552187334,0.979,1.0,False,runs/staged_orientation_e2_after_prealign_bracket/20260524T100429/scale0p050_kp0p02
scale0p050_kp0p00,0.05,0.0,0.0020290714973557108,True,False,1.0,0.008347977658392892,False,False,qdot_saturation_fraction;tail_max_qdot_utilization,0.007630272304588416,1.4927236993299457e-05,1.7861316370438134e-09,0.013992589911331708,0.0016144669797669062,0.97775,1.0,False,runs/staged_orientation_e2_after_prealign_bracket/20260524T100429/scale0p050_kp0p00
scale0p025_kp0p10,0.025,0.1,0.0020290714973557108,True,False,1.0,0.008347977658392892,False,False,qdot_saturation_fraction;tail_max_qdot_utilization,0.0026498747493683304,8.973465519375969e-06,9.067540513865e-10,0.007889159305917036,0.0015830903362232913,0.93475,1.0,False,runs/staged_orientation_e2_after_prealign_bracket/20260524T100429/scale0p025_kp0p10
scale0p025_kp0p05,0.025,0.05,0.0020290714973557108,True,False,1.0,0.008347977658392892,False,False,qdot_saturation_fraction;tail_max_qdot_utilization,0.002372993111585392,8.250149215331986e-06,9.063569736595614e-10,0.007894177237490738,0.0012370728399746542,0.93025,1.0,False,runs/staged_orientation_e2_after_prealign_bracket/20260524T100429/scale0p025_kp0p05
scale0p025_kp0p02,0.025,0.02,0.0020290714973557108,True,False,1.0,0.008347977658392892,False,False,qdot_saturation_fraction;tail_max_qdot_utilization,0.0020953233047780306,7.862603827547847e-06,8.661735390969738e-10,0.007897726130946353,0.0010871322215617776,0.91075,1.0,False,runs/staged_orientation_e2_after_prealign_bracket/20260524T100429/scale0p025_kp0p02
scale0p025_kp0p00,0.025,0.0,0.0020290714973557108,True,False,1.0,0.008347977658392892,False,False,qdot_saturation_fraction;tail_max_qdot_utilization,0.0020953131569018523,7.861692520321697e-06,8.662111997287384e-10,0.007897757695261808,0.0010471540264178469,0.906,1.0,False,runs/staged_orientation_e2_after_prealign_bracket/20260524T100429/scale0p025_kp0p00
