case,phase,weight,approach_terminal_pass,approach_feasibility_pass,trajectory_feasibility_pass,trajectory_after_approach_pass,full_staged_feasibility_pass,approach_final_orientation_error_rad,approach_max_tangential_position_error_m,trajectory_failed_criteria,trajectory_max_orientation_error_rad,trajectory_max_angular_velocity_slack_rad_s,trajectory_qdot_saturation_fraction,trajectory_tail_qdot_saturation_fraction,trajectory_tail_max_qdot_utilization,trajectory_max_abs_force_error_N,trajectory_mean_tangential_position_error_m
baseline,none,0.0,True,False,False,False,False,0.0020290714973557108,0.008347977658392892,qdot_saturation_fraction;tail_max_qdot_utilization,0.020294558071100602,0.004471744994925079,0.9935,1.0,1.0,0.015543559546856045,1.5759004425663282e-05
trajectory_w0p001,trajectory,0.001,True,False,True,True,False,0.0020290714973557108,0.008347977658392892,,0.0203545748607252,0.0044538973826401184,0.0,0.0,0.015816929731774558,0.011842144259021303,1.3445658407762109e-05
trajectory_w0p01,trajectory,0.01,True,False,True,True,False,0.0020290714973557108,0.008347977658392892,,0.02257965740356133,0.004484630507129273,0.0,0.0,0.012156427259521778,0.01199958307572846,1.334397768728421e-05
trajectory_w0p1,trajectory,0.1,True,False,False,False,False,0.0020290714973557108,0.008347977658392892,max_orientation_error_rad,0.0470714526557534,0.00889158221482315,0.0,0.0,0.03872667331311572,0.012019995583968601,1.2087611183212885e-05
approach_w0p001,approach,0.001,True,False,False,False,False,0.0020411950415747605,0.008352181427760712,qdot_saturation_fraction;tail_max_qdot_utilization,0.020262454514735267,0.004574747306623712,0.99875,1.0,1.0,0.01554842357981645,1.57540460769044e-05
approach_w0p01,approach,0.01,True,False,False,False,False,0.002149286697229978,0.008647655495195559,qdot_saturation_fraction;tail_max_qdot_utilization,0.018046083032793606,0.0042443528878340344,0.873,1.0,1.0,0.015541878599242054,1.5470571992293254e-05
approach_w0p1,approach,0.1,True,False,False,False,False,0.0015246204356639066,0.027005305860287987,contact_present_fraction;tail_mean_abs_force_error_N,0.004585181966021033,0.0010211338421782642,0.0,0.0,0.19286920174859198,5.0,0.00011503929999093779
both_w0p001,both,0.001,True,False,True,True,False,0.0020411950415747605,0.008352181427760712,,0.02032274607472726,0.004450304400329944,0.0,0.0,0.015813124322961183,0.01164567391060789,1.3429173610263272e-05
both_w0p01,both,0.01,True,False,True,True,False,0.002149286697229978,0.008647655495195559,,0.020634679203137215,0.004203584457648211,0.0,0.0,0.013426156756298442,0.011815380010165022,1.3385477335307955e-05
both_w0p1,both,0.1,True,False,False,False,False,0.0015246204356639066,0.027005305860287987,contact_present_fraction;tail_mean_abs_force_error_N,0.014264369164437523,0.006682126462267221,0.0,0.0,0.16691630259259307,5.0,0.00011818065781471828
