orientation_kp,trajectory,paper_time_scale,feasibility_pass,failed_criteria,tail_mean_abs_force_error_N,contact_present_fraction,max_tangential_position_error_m,max_planar_velocity_slack_m_s,max_abs_normal_velocity_slack_m_s,max_orientation_error_rad,max_angular_velocity_slack_rad_s,qdot_saturation_fraction,tail_max_qdot_utilization,max_qdot_violation_rad_s,max_joint_limit_violation_rad,case_dir,gain_root
0.1,e1-cycloid,0.05,False,max_orientation_error_rad,0.00017021009960104026,1.0,1.1023112188650996e-06,2.0669234005567142e-10,6.883695456911306e-12,0.1744980186604636,3.112113010491921e-06,0.0,0.10864164340958926,0.0,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp0p1/e1_scale-0p05,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp0p1
0.1,e1-cycloid,0.075,False,max_orientation_error_rad,0.00017028171203874897,1.0,1.10245592973691e-06,2.067821966585339e-10,6.8836985028417844e-12,0.1744980186604636,7.001930470953769e-06,0.0,0.10864180071848975,0.0,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp0p1/e1_scale-0p075,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp0p1
0.1,e1-cycloid,0.1,False,max_orientation_error_rad,0.00017042122824620254,1.0,1.102739183989308e-06,2.0702849796448462e-10,6.883704948762513e-12,0.1744980186604636,1.2447475324324366e-05,0.0,0.10864210734330415,0.0,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp0p1/e1_scale-0p1,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp0p1
0.25,e1-cycloid,0.05,False,max_orientation_error_rad,0.0021338787423030637,1.0,4.1259201741487435e-06,5.532570007126561e-10,1.0803327840197248e-11,0.1744456588511598,3.551370008415211e-06,0.0,0.24531098707176816,0.0,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp0p25/e1_scale-0p05,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp0p25
0.25,e1-cycloid,0.075,False,max_orientation_error_rad,0.002134130648298882,1.0,4.126062695144927e-06,5.535173510795954e-10,1.0803679707847933e-11,0.1744456588511598,7.987443653810365e-06,0.0,0.24531120157979486,0.0,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp0p25/e1_scale-0p075,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp0p25
0.25,e1-cycloid,0.1,False,max_orientation_error_rad,0.002134621303736162,1.0,4.126340646160246e-06,5.542060264088609e-10,1.0804366001046853e-11,0.1744456588511598,1.4178358880774764e-05,0.0,0.24531161979307198,0.0,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp0p25/e1_scale-0p1,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp0p25
0.5,e1-cycloid,0.05,False,qdot_saturation_fraction;tail_max_qdot_utilization;max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.001581200683072752,1.0,8.08398110996296e-06,1.1108882458766555e-09,2.1671026376125693e-11,0.17435839250232021,0.03769354013880992,0.229,1.0,0.0,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp0p5/e1_scale-0p05,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp0p5
0.5,e1-cycloid,0.075,False,qdot_saturation_fraction;tail_max_qdot_utilization;max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.0015813218217458935,1.0,8.084067111631117e-06,1.1109227150980039e-09,2.167111066606834e-11,0.17435839250232021,0.0376959415297048,0.229,1.0,0.0,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp0p5/e1_scale-0p075,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp0p5
0.5,e1-cycloid,0.1,False,qdot_saturation_fraction;tail_max_qdot_utilization;max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.0015815317012663054,1.0,8.08423729217811e-06,1.1110126605313996e-09,2.1671274644870665e-11,0.17435839250232021,0.03769512024508997,0.229,1.0,0.0,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp0p5/e1_scale-0p1,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp0p5
1.0,e1-cycloid,0.05,False,qdot_saturation_fraction;tail_max_qdot_utilization;max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.0005552897717242855,1.0,9.279285217515003e-06,2.3112769028160265e-09,4.110386153893895e-11,0.17418386008451897,0.07466032247827491,1.0,1.0,0.0,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp1p0/e1_scale-0p05,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp1p0
1.0,e1-cycloid,0.075,False,qdot_saturation_fraction;tail_max_qdot_utilization;max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.0005552990351419318,1.0,9.279301428345605e-06,2.311281100889557e-09,4.1103875755539934e-11,0.17418386008451897,0.07466040890291388,1.0,1.0,0.0,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp1p0/e1_scale-0p075,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp1p0
1.0,e1-cycloid,0.1,False,qdot_saturation_fraction;tail_max_qdot_utilization;max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.0005553170726111966,1.0,9.279333133892646e-06,2.311291698008317e-09,4.1103901437578895e-11,0.17418386008451897,0.07466057862274032,1.0,1.0,0.0,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp1p0/e1_scale-0p1,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp1p0
2.0,e1-cycloid,0.05,False,qdot_saturation_fraction;tail_max_qdot_utilization;max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.0005500972858954655,1.0,9.543404143566696e-06,2.8224877140155497e-09,4.8531399913869476e-11,0.17416151436895033,0.1633604348751847,1.0,1.0,0.0,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp2p0/e1_scale-0p05,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp2p0
2.0,e1-cycloid,0.075,False,qdot_saturation_fraction;tail_max_qdot_utilization;max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.0005501050363900939,1.0,9.543415791312244e-06,2.822489336012395e-09,4.853140683921085e-11,0.17416151436895033,0.1633604348751847,1.0,1.0,0.0,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp2p0/e1_scale-0p075,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp2p0
2.0,e1-cycloid,0.1,False,qdot_saturation_fraction;tail_max_qdot_utilization;max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.0005501200306344068,1.0,9.54343849782475e-06,2.822493403831312e-09,4.8531419930952086e-11,0.17416151436895033,0.1633604348751847,1.0,1.0,0.0,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp2p0/e1_scale-0p1,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp2p0
5.0,e1-cycloid,0.05,False,qdot_saturation_fraction;tail_max_qdot_utilization;max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.0005500972850374586,1.0,9.543404143597923e-06,2.8224877156694035e-09,4.8531400686363524e-11,0.17416151436895033,0.6869592104751856,1.0,1.0,0.0,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp5p0/e1_scale-0p05,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp5p0
5.0,e1-cycloid,0.075,False,qdot_saturation_fraction;tail_max_qdot_utilization;max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.0005501050439880206,1.0,9.543415791277527e-06,2.8224893043827156e-09,4.8531406879868434e-11,0.17416151436895033,0.6869592104751856,1.0,1.0,2.7755575615628914e-17,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp5p0/e1_scale-0p075,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp5p0
5.0,e1-cycloid,0.1,False,qdot_saturation_fraction;tail_max_qdot_utilization;max_orientation_error_rad;max_angular_velocity_slack_rad_s,0.0005501200319756405,1.0,9.543438497833359e-06,2.822493353784906e-09,4.853141839951652e-11,0.17416151436895033,0.6869592104751856,1.0,1.0,2.7755575615628914e-17,0.0,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp5p0/e1_scale-0p1,runs/tilted_orientation_gain_timing_sweep/20260524T091826/kp5p0
