trajectory,paper_time_scale,feasibility_pass,failed_criteria,tail_mean_abs_force_error_N,contact_present_fraction,max_tangential_position_error_m,max_planar_velocity_slack_m_s,max_abs_normal_velocity_slack_m_s,max_abs_qdot_rad_s,max_qdot_utilization,tail_max_qdot_utilization,qdot_saturation_fraction,tail_qdot_saturation_fraction,max_qdot_violation_rad_s,max_joint_limit_violation_rad,case_dir
e2-figure-eight,1.0,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s;qdot_saturation_fraction;tail_max_qdot_utilization,0.0479840836286729,1.0,0.02114338335402673,0.013216502110190214,0.00010718233529072995,0.14999999999999997,0.9999999999999998,0.9999999999999998,0.78175,1.0,0.0,0.0,runs/timing_feasibility_sweep/20260524T021322/e2_scale-1
e2-figure-eight,0.75,False,solver_success_fraction;max_tangential_position_error_m;max_planar_velocity_slack_m_s;qdot_saturation_fraction;tail_max_qdot_utilization,0.03045464335463004,1.0,0.015202002057587127,0.010267050563011332,8.318032365387142e-05,0.14999999999999997,0.9999999999999998,0.9999999999999998,0.697,1.0,0.0,0.0,runs/timing_feasibility_sweep/20260524T021322/e2_scale-0p75
e2-figure-eight,0.5,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s;qdot_saturation_fraction;tail_max_qdot_utilization,0.01159829983132263,1.0,0.00795109456427083,0.005962011882315249,4.865735029919749e-05,0.14999999999999997,0.9999999999999998,0.9999999999999998,0.55925,1.0,0.0,0.0,runs/timing_feasibility_sweep/20260524T021322/e2_scale-0p5
e2-figure-eight,0.35,False,solver_success_fraction;max_tangential_position_error_m;max_planar_velocity_slack_m_s;qdot_saturation_fraction;tail_max_qdot_utilization,0.0028221942256946362,1.0,0.0030961234538903716,0.0030659153238616252,2.6521352327178817e-05,0.14999999999999997,0.9999999999999998,0.9999999999999998,0.3675,0.9925,0.0,0.0,runs/timing_feasibility_sweep/20260524T021322/e2_scale-0p35
e2-figure-eight,0.25,False,qdot_saturation_fraction;tail_max_qdot_utilization,0.0007294332645588986,1.0,0.00031737751452890384,0.0007251472811804109,5.0713298296600925e-06,0.14999999999999997,0.9999999999999998,0.9999999999999998,0.11525,0.5725,0.0,0.0,runs/timing_feasibility_sweep/20260524T021322/e2_scale-0p25
e2-figure-eight,0.2,True,,0.00034204709355621144,1.0,1.7888622586078747e-06,2.3310453749022684e-07,1.9912104774848293e-08,0.149999999917852,0.9999999994523467,0.10194983790754977,0.00075,0.0,0.0,0.0,runs/timing_feasibility_sweep/20260524T021322/e2_scale-0p2
e2-figure-eight,0.15,True,,0.0003427587992907799,1.0,1.341651517564839e-06,7.179941391533738e-08,1.9984226734242342e-08,0.14999999991567314,0.999999999437821,0.04410922858722124,0.00075,0.0,0.0,0.0,runs/timing_feasibility_sweep/20260524T021322/e2_scale-0p15
e2-figure-eight,0.1,True,,0.00034347390161298063,1.0,8.944407745611925e-07,7.260979574082636e-08,2.005623196891778e-08,0.14999999991349255,0.9999999994232838,0.026550172666882487,0.00075,0.0,0.0,0.0,runs/timing_feasibility_sweep/20260524T021322/e2_scale-0p1
e3-circle,1.0,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s;qdot_saturation_fraction;tail_max_qdot_utilization,0.014410140908808211,1.0,0.016176223350410992,0.010692708281149576,5.456710213298902e-05,0.14999999999999997,0.9999999999999998,0.9999999999999998,0.7635,1.0,0.0,0.0,runs/timing_feasibility_sweep/20260524T021322/e3_scale-1
e3-circle,0.75,False,max_tangential_position_error_m;max_planar_velocity_slack_m_s;qdot_saturation_fraction;tail_max_qdot_utilization,0.007488841114131854,1.0,0.010666778889808088,0.0072607244352757274,3.68949436568819e-05,0.14999999999999997,0.9999999999999998,0.9999999999999998,0.68325,1.0,0.0,0.0,runs/timing_feasibility_sweep/20260524T021322/e3_scale-0p75
